VEEV,2020-07-13(sell)
VZ,2020-07-09(sell*)
VRS,2020-07-10(buy)
ZTR,2020-07-09(sell*)
VSH,2020-07-10(buy)
VSTO,2020-07-10(sell)
VCRA,2020-07-09(sell),2020-07-10(buy*)
WRB,2020-07-13(buy*)
DIS,2020-07-09(buy)
W,2020-07-13(sell)
EOD,2020-07-09(sell)
EMD,2020-07-13(sell)
GDO,2020-07-13(sell)
HIX,2020-07-09(sell)
SBI,2020-07-09(buy*)
DMO,2020-07-09(sell)
WRK,2020-07-09(sell*)
WY,2020-07-10(buy*)
WTM,2020-07-09(sell*)
WIT,2020-07-13(buy*)
WK,2020-07-09(sell)
XYF,2020-07-10(buy)
XRX,2020-07-13(buy)
YEXT,2020-07-13(sell)
ZTS,2020-07-10(sell),2020-07-13(buy*)
ZYME,2020-07-09(sell)
TXG,2020-07-09(buy*),2020-07-13(sell)
JOBS,2020-07-10(buy*)
JFK,2020-07-09(sell),2020-07-10(buy*)
AAON,2020-07-09(sell)
ABMD,2020-07-10(sell)
XLRN,2020-07-13(sell)
ADMS,2020-07-10(buy)
ADXN,2020-07-09(buy*),2020-07-13(sell)
ADIL,2020-07-13(sell*)
ADBE,2020-07-13(sell)
ADXS,2020-07-10(buy)
AVAV,2020-07-09(sell)
AIH,2020-07-13(buy)
AGIO,2020-07-10(sell)
AGNCP,2020-07-10(buy),2020-07-13(sell*)
ANTE,2020-07-13(buy)
AKBA,2020-07-09(sell)
ALRM,2020-07-13(sell)
ALDX,2020-07-09(buy*)
ALGN,2020-07-09(sell)
ALJJ,2020-07-10(buy)
ALKS,2020-07-13(sell)
AHPI,2020-07-13(sell)
AMAG,2020-07-09(sell*)
AMRN,2020-07-10(sell*)
AMRK,2020-07-09(sell),2020-07-13(buy*)
AMCX,2020-07-13(buy)
AMCI,2020-07-13(buy*)
AMSF,2020-07-10(buy)
ASRVP,2020-07-08(buy*)
FOLD,2020-07-10(sell)
AMHCU,2020-07-10(sell),2020-07-13(buy*)
ASYS,2020-07-10(buy)
AMRS,2020-07-10(sell)
ANDA,2020-07-13(sell)
ANGO,2020-07-09(sell*),2020-07-10(buy)
ANIP,2020-07-09(sell*)
ANIK,2020-07-09(sell)
ANPC,2020-07-09(sell*)
APXT,2020-07-10(buy*)
APXTU,2020-07-10(buy*)
APEN,2020-07-09(sell*)
AMAT,2020-07-13(sell)
APVO,2020-07-13(sell)
APTX,2020-07-13(sell)
ARDX,2020-07-10(sell*)
ARDS,2020-07-13(buy)
ARTNA,2020-07-09(sell)
AZPN,2020-07-09(buy*),2020-07-10(sell)
ALOT,2020-07-09(sell)
ATRA,2020-07-13(sell)
AY,2020-07-10(sell)
ATNI,2020-07-13(sell*)
AUDC,2020-07-10(buy)
AVCO,2020-07-09(sell)
CDMOP,2020-07-13(sell)
AXGT,2020-07-13(buy)
AXTI,2020-07-09(buy)
RILYG,2020-07-09(sell)
RILYI,2020-07-09(buy*)
RILYM,2020-07-09(buy*)
RILYO,2020-07-09(buy*)
RILYP,2020-07-13(buy*)
RILYZ,2020-07-09(sell)
BCPC,2020-07-10(buy)
BANFP,2020-07-10(sell)
BAND,2020-07-13(sell)
BSET,2020-07-13(sell)
BEAM,2020-07-10(sell)
BCYC,2020-07-10(buy*)
BGFV,2020-07-09(buy*)
BRPAR,2020-07-10(sell)
BHTG,2020-07-09(sell)
BLRX,2020-07-09(buy)
BMRN,2020-07-10(sell)
BNGO,2020-07-10(buy*)
BL,2020-07-09(sell)
BCOR,2020-07-10(buy)
BHAT,2020-07-10(buy*)
BLUE,2020-07-09(buy*),2020-07-13(sell)
BKEPP,2020-07-13(sell)
BOKFL,2020-07-13(sell)
BKNG,2020-07-09(buy*)
BWAY,2020-07-13(buy)
BHFAL,2020-07-10(buy)
BYFC,2020-07-09(sell)
BROG,2020-07-09(buy)
BPYPN,2020-07-10(buy)
BPYPO,2020-07-10(buy)
BPYPP,2020-07-09(buy)
BRKR,2020-07-13(sell*)
BSQR,2020-07-09(sell)
CHW,2020-07-13(sell)
CAMT,2020-07-09(buy*)
CBNK,2020-07-09(sell*),2020-07-10(buy)
CDLX,2020-07-10(buy*),2020-07-13(sell)
CDNA,2020-07-10(sell)
CARG,2020-07-13(sell)
CWST,2020-07-09(sell),2020-07-10(buy*),2020-07-13(sell)
CASY,2020-07-09(buy)
CBMG,2020-07-13(sell)
CNTG,2020-07-09(sell)
CFBK,2020-07-13(sell*)
CERC,2020-07-13(sell*)
CERS,2020-07-13(sell)
CEVA,2020-07-13(sell)
CFFAU,2020-07-09(buy*)
CSBR,2020-07-13(sell)
CCXI,2020-07-13(sell)
CAAS,2020-07-10(sell)
CCCL,2020-07-10(buy*)
CJJD,2020-07-10(buy),2020-07-13(sell*)
SXTC,2020-07-10(sell)
CHSCL,2020-07-09(buy)
CHSCM,2020-07-10(buy)
CIIC,2020-07-09(buy*)
CMCT,2020-07-09(sell),2020-07-10(buy*)
CMCTP,2020-07-13(sell)
CSCO,2020-07-10(buy*),2020-07-13(sell)
CTRN,2020-07-09(sell)
CBLI,2020-07-10(sell)
CME,2020-07-13(buy)
CODX,2020-07-09(sell)
CTSH,2020-07-09(sell)
HHT,2020-07-09(buy*)
CVLT,2020-07-13(sell*)
CGEN,2020-07-13(sell)
CPSI,2020-07-13(buy)
CNFRL,2020-07-10(sell)
CNMD,2020-07-09(sell*),2020-07-10(buy)
CPAA,2020-07-10(sell)
CPRT,2020-07-09(sell*)
CORE,2020-07-10(buy)
CSGP,2020-07-13(sell)
COWNZ,2020-07-09(buy*)
CRAI,2020-07-13(buy)
CRTO,2020-07-13(sell)
CCRN,2020-07-09(sell*)
CTIC,2020-07-13(sell)
CPIX,2020-07-13(sell*)
CVV,2020-07-09(buy)
CYCC,2020-07-13(sell*)
CYCCP,2020-07-08(sell*)
CYTK,2020-07-13(sell)
DJCO,2020-07-10(buy)
DDOG,2020-07-09(buy*),2020-07-13(sell)
DUSA,2020-07-09(buy*)
DWSN,2020-07-13(buy*)
TACO,2020-07-13(buy)
DRNA,2020-07-10(sell)
APPS,2020-07-09(sell)
DIOD,2020-07-13(buy*)
DLHC,2020-07-13(buy*)
DLPN,2020-07-09(buy*)
DOMO,2020-07-13(sell)
DGICB,2020-07-13(buy)
DNKN,2020-07-13(sell)
DVAX,2020-07-13(sell)
SSP,2020-07-13(buy)
ESSCU,2020-07-10(buy*)
EDUC,2020-07-09(sell),2020-07-10(buy*)
EGAN,2020-07-13(sell)
EIDX,2020-07-10(sell)
ECOR,2020-07-10(buy)
ELSE,2020-07-09(buy*)
ESBK,2020-07-13(buy)
EMCF,2020-07-09(buy*)
ENOB,2020-07-09(sell)
ESGR,2020-07-10(buy*)
ESGRP,2020-07-10(buy),2020-07-13(sell*)
EQIX,2020-07-13(sell)
ERIC,2020-07-10(sell)
ERIE,2020-07-09(sell),2020-07-10(buy*)
ESPR,2020-07-13(sell)
EPIX,2020-07-13(sell)
VBND,2020-07-10(buy*),2020-07-13(sell)
VIDI,2020-07-09(sell)
ETSY,2020-07-13(sell)
EVLO,2020-07-10(sell)
EVOK,2020-07-09(sell)
EVOL,2020-07-13(sell)
ROBO,2020-07-13(sell)
EXC,2020-07-09(sell*),2020-07-10(buy)
EXPI,2020-07-09(sell)
EYEG,2020-07-09(buy)
FFIV,2020-07-09(buy)
FAST,2020-07-10(sell)
FATE,2020-07-13(sell)
GSM,2020-07-10(buy)
FGEN,2020-07-09(sell)
FITBI,2020-07-09(buy)
FITBP,2020-07-10(buy)
FEYE,2020-07-10(buy*),2020-07-13(sell)
FRBA,2020-07-13(buy)
FGBI,2020-07-10(sell*)
INBKZ,2020-07-09(buy)
FCAN,2020-07-09(sell)
SKYY,2020-07-13(sell)
FV,2020-07-13(sell)
DALI,2020-07-09(buy*)
RNEM,2020-07-13(sell)
FEP,2020-07-10(buy*),2020-07-13(sell)
FNY,2020-07-13(sell)
FAD,2020-07-13(sell)
ROBT,2020-07-13(sell)
GRID,2020-07-10(buy*),2020-07-13(sell)
